[2026-09-23T10:49:33.197Z] GET http://192.168.178.24:8000/assets/fonts/inter-latin.woff2 → 200 (21ms, 48256B)
[2026-09-23T10:49:33.217Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (2ms, 19331B)
[2026-09-23T10:49:33.217Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (3ms, 51745B)
[2026-09-23T10:49:33.217Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (3ms, 51671B)
[2026-09-23T10:49:33.281Z] GET http://192.168.178.24:8000/assets/images/stock/handshake.jpg → 200 (2ms, 274633B)
[2026-09-23T10:55:25.830Z] GET http://192.168.178.24:8000/ → 200 (9ms, 71064B)
[2026-09-23T10:55:25.977Z] GET http://192.168.178.24:8000/assets/images/brand/logo-white.png?v=2 → 200 (8ms, 59499B)
[2026-09-23T10:55:25.977Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (10ms, 51671B)
[2026-09-23T10:55:25.984Z] GET http://192.168.178.24:8000/assets/images/stock/hero-still.jpg → 200 (4ms, 162187B)
[2026-09-23T10:55:25.984Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (5ms, 19331B)
[2026-09-23T10:55:25.984Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (26ms, 51745B)
[2026-09-23T10:55:25.984Z] GET http://192.168.178.24:8000/assets/images/people/niklas-gruber.jpg → 200 (26ms, 107982B)
[2026-09-23T10:55:25.984Z] GET http://192.168.178.24:8000/assets/images/people/nikolaus-mueller.jpg → 200 (44ms, 78751B)
[2026-09-23T10:55:26.027Z] GET http://192.168.178.24:8000/assets/images/brand/blueprint.svg → 200 (22ms, 1921B)
[2026-09-23T10:55:26.028Z] GET http://192.168.178.24:8000/assets/fonts/inter-latin.woff2 → pending (?ms, ?B)
[2026-09-23T10:55:26.089Z] GET http://192.168.178.24:8000/assets/images/stock/hero-video.mp4 → 206 (12ms, ?B)
[2026-09-23T10:55:26.100Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (19ms, 19331B)
[2026-09-23T10:55:26.100Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (21ms, 51745B)
[2026-09-23T10:55:26.146Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (1ms, 51671B)
[2026-09-23T10:55:26.273Z] GET http://192.168.178.24:8000/assets/images/stock/handshake.jpg → 200 (1ms, 274633B)
[2026-09-23T10:55:27.232Z] GET http://192.168.178.24:8000/assets/images/stock/handshake-small.jpg → 200 (?ms, 122546B)
[2026-09-23T10:55:27.514Z] GET http://192.168.178.24:8000/ → 200 (5ms, 71064B)
[2026-09-23T10:55:27.538Z] GET http://192.168.178.24:8000/assets/images/brand/logo-white.png?v=2 → 200 (2ms, 59499B)
[2026-09-23T10:55:27.538Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (5ms, 51671B)
[2026-09-23T10:55:27.538Z] GET http://192.168.178.24:8000/assets/images/stock/hero-still.jpg → 200 (9ms, 162187B)
[2026-09-23T10:55:27.538Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (10ms, 19331B)
[2026-09-23T10:55:27.539Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (20ms, 51745B)
[2026-09-23T10:55:27.539Z] GET http://192.168.178.24:8000/assets/images/people/niklas-gruber.jpg → 200 (28ms, 107982B)
[2026-09-23T10:55:27.539Z] GET http://192.168.178.24:8000/assets/images/people/nikolaus-mueller.jpg → 200 (30ms, 78751B)
